,title,content,Workout Title,Category,Routine Link,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required,Target Gender,Recommended Supps
410,Friday - Legs and Shoulders,"[['45 Degree Leg Press', '4', '12,10,10,10'], ['Leg Extension', '3', '12'], ['Leg Curl', '3', '12'], ['Military Press', '4', '8-10'], ['Dumbbell Lateral Raise', '3', '10']]",3 Day Muscle Building Workout For Beginners,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3day-beginners-workout.html,Build Muscle,Full Body,Beginner,6 weeks,1,30-45 minutes,Bodyweight,Male & Female,
411,Workout A,"[['Squats', '5', '5'], ['Bench Press', '5', '5'], ['Bent Over Row', '5', '5'], ['Barbell Shrugs', '3', '8'], ['Tricep Extensions', '3', '8'], ['Straight Bar or Incline Curls', '3', '8'], ['Hyperextensions with plate', '2', '10'], ['Cable Crunches', '3', '10']]",Jason Blaha's Ice Cream Fitness 5x5 Novice Program,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/jason-blaha-ice-cream-fitness-5x5-novice-workout,Lose Fat,Full Body,Beginner,6 weeks,3,20-35 minutes,Bodyweight,Male & Female,"Whey Protein, Fish Oil, Multivitamin"
412,Workout B,"[['Squats', '5', '5'], ['Deadlift', '1', '5'], ['Standing Press', '5', '5'], ['Bent Over Row (10% lighter than Workout A)', '5', '5'], ['Close Grip Bench Press', '3', '8'], ['Straight Bar or Incline Curls', '3', '8'], ['Cable Crunches', '3', '10']]",Jason Blaha's Ice Cream Fitness 5x5 Novice Program,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/jason-blaha-ice-cream-fitness-5x5-novice-workout,Lose Fat,Full Body,Beginner,6 weeks,3,20-35 minutes,Bodyweight,Male & Female,"Whey Protein, Fish Oil, Multivitamin"
413,Weeks 1-3:,"[['Leg Press', '1', '15'], ['Lying Leg Curl', '1', '15'], ['Seated Cable Curl', '1', '15'], ['Flat Bench Press', '1', '15'], ['Dumbbell Press', '1', '15'], ['Dumbbell Shrug', '1', '15'], ['Tricep Pushdown', '1', '15'], ['Barbell Curl', '1', '15'], ['Back Extension', '1', '15'], ['Standing Calf Raise', '1', '15'], ['Barbell Wrist Curl', '1', '15'], ['Crunches', '1', '15']]",12 Week Full Body Workout Routine for Beginners,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/12-week-beginners-training-routine.html,Lose Fat,Full Body,Beginner,12 weeks,2,25-35 minutes,Bodyweight,Male & Female,"Protein Powder, BCAA's, Beta-Alanine"
414,Weeks 4-6:,"[['Leg Press', '2', '12'], ['Lying Leg Curl', '2', '12'], ['Seated Cable Row', '2', '12'], ['Flat Bench Press', '2', '12'], ['Dumbbell Press', '2', '12'], ['Dumbbell Shrug', '2', '12'], ['Tricep Pushdown', '2', '12'], ['Barbell Curl', '2', '12'], ['Back Extension', '2', '12'], ['Standing Calf Raise', '2', '12'], ['Barbell Wrist Curl', '2', '12'], ['Crunches', '2', '12']]",12 Week Full Body Workout Routine for Beginners,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/12-week-beginners-training-routine.html,Lose Fat,Full Body,Beginner,12 weeks,2,25-35 minutes,Bodyweight,Male & Female,"Protein Powder, BCAA's, Beta-Alanine"
415,Workout 1: Upper Body,"[['Flat Dumbbell Press', '2', '10-12'], ['Pec Deck Fly', '1', '10-12'], ['Single Arm Dumbbell Row', '2', '10-12'], ['Seated Cable Row', '1', '10-12'], ['Seated Dumbbell Press', '2', '10-12'], ['Dumbbell Lateral Raise', '1', '10-12'], ['Dumbbell Shrug', '2', '10-15'], ['Tricep Pushdown', '2', '10-15'], ['Barbell Curl', '2', '10-12'], ['Barbell Wrist Curl', '2', '10-12']]",12 Week Full Body Workout Routine for Beginners,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/12-week-beginners-training-routine.html,Lose Fat,Full Body,Beginner,12 weeks,2,25-35 minutes,Bodyweight,Male & Female,"Protein Powder, BCAA's, Beta-Alanine"
416,Workout 2: Lower Body,"[['Smith Machine Squats', '1', '8-12'], ['Leg Extension', '1', '10-12'], ['Lying Leg Curl', '1', '10-12'], ['Back Extension', '1', '20-30'], ['Standing Calf Raise', '1', '12-15'], ['Crunches', '2', '15-40'], ['Reverse Crunch', '2', '15-30']]",12 Week Full Body Workout Routine for Beginners,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/12-week-beginners-training-routine.html,Lose Fat,Full Body,Beginner,12 weeks,2,25-35 minutes,Bodyweight,Male & Female,"Protein Powder, BCAA's, Beta-Alanine"
417,Day 1: Planet Fitness Chest Workout,"[['Dumbbell Incline Bench Press', '5', '8-12'], ['Machine Chest Press', '4', '8-10'], ['A1. Cable Fly', '4', '10-15'], ['A2. Chest Dip', '4', '8-12'], ['B1. Machine Chest Fly', '3', '12-15'], ['B2. Push Up', '3', 'Failure']]",5 Day Body Part Split Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/5-day-body-part-split-planet-fitness-workout,Lose Fat,Split,Intermediate,6 weeks,6,30-75 minutes,"Bands, Barbell, Dumbbells, Kettle Bells, Medicine Ball",Male & Female,"Whey Protein Isolate, BCAA 2:1:1, Citrulline Malate, Kre-Alkalyn"
418,Day 2: Planet Fitness Back Workout,"[['Pull Ups', '5', '8-12'], ['Dumbbell Row', '4', '8-12'], ['Smith Machine Row', '4', '8-12'], ['A1. Seated Cable Row', '3', '10-15'], ['A2. Close Grip Pull Down', '3', '10-15'], ['Straight Arm Lat Pull Down', '2', '20']]",5 Day Body Part Split Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/5-day-body-part-split-planet-fitness-workout,Lose Fat,Split,Intermediate,6 weeks,6,30-75 minutes,"Bands, Barbell, Dumbbells, Kettle Bells, Medicine Ball",Male & Female,"Whey Protein Isolate, BCAA 2:1:1, Citrulline Malate, Kre-Alkalyn"
419,Day 3: Planet Fitness Leg Workout,"[['Leg Press', '4', '8-12'], ['Goblet Squat', '3', '8-12'], ['Dumbbell Hip Thrust', '4', '8-12'], ['A1. Lying Leg Curl', '3', '10-15'], ['A2. Dumbbell Rear Lunge', '3', '10-15 Each'], ['Standing Calf Raise', '4', '20-25'], ['Glute Focused Hyperextension', '3', '10-15']]",5 Day Body Part Split Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/5-day-body-part-split-planet-fitness-workout,Lose Fat,Split,Intermediate,6 weeks,6,30-75 minutes,"Bands, Barbell, Dumbbells, Kettle Bells, Medicine Ball",Male & Female,"Whey Protein Isolate, BCAA 2:1:1, Citrulline Malate, Kre-Alkalyn"
420,Day 4: Planet Fitness Shoulder Workout,"[['Seated Dumbbell Press', '4', '8-12'], ['Dumbbell Lateral Raise', '4', '8-12'], ['Cable Face Pull', '3', '10-15'], ['Machine Lateral Raise', '3', '10-15'], ['Machine Reverse Fly', '3', '10-15'], ['Smith Machine Shrug', '4', '8-12']]",5 Day Body Part Split Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/5-day-body-part-split-planet-fitness-workout,Lose Fat,Split,Intermediate,6 weeks,6,30-75 minutes,"Bands, Barbell, Dumbbells, Kettle Bells, Medicine Ball",Male & Female,"Whey Protein Isolate, BCAA 2:1:1, Citrulline Malate, Kre-Alkalyn"
421,Day 5: Planet Fitness Arm Workout,"[['Dumbbell Curl', '3', '10-12'], ['Lying Dumbbell Tricep Extension', '3', '10-12'], ['Cable Hammer Curl', '3', '10-12'], ['Tricep Dip', '3', '10-12'], ['Machine Preacher Curl', '3', '10-12'], ['Standing Cable Overhead Extension', '3', '10-12']]",5 Day Body Part Split Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/5-day-body-part-split-planet-fitness-workout,Lose Fat,Split,Intermediate,6 weeks,6,30-75 minutes,"Bands, Barbell, Dumbbells, Kettle Bells, Medicine Ball",Male & Female,"Whey Protein Isolate, BCAA 2:1:1, Citrulline Malate, Kre-Alkalyn"
422,Planet Fitness Upper Body Workout A,"[['1. Dumbbell Bench Press', '4', '8-12'], ['2. Machine Chest Fly', '3', '10-15'], ['3. Dumbbell Row', '4', '8-12'], ['4. Lat Pull Down', '4', '8-12'], ['5. Machine Shoulder Press', '4', '8-12'], ['6. Dumbbell Lateral Raise', '3', '10-15'], ['7. Machine Tricep Dip', '2', '8-12'], ['8. Cable Curl', '2', '10-15']]",4 Day Upper/Lower Planet Fitness Workout (Machine & Dumbbell Only),https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/4-day-upper-lower-planet-fitness-workout,Build Muscle,Full Body,Beginner,4 weeks,3,20-45 minutes,Kettle Bells,Male & Female,"Protein Powder, Creatine (Optional)"
423,Planet Fitness Lower Body Workout A,"[['1. Leg Press', '4', '8-12'], ['2. Dumbbell Stiff Leg Deadlift', '4', '8-12'], ['3. Leg Extension', '3', '12-15'], ['4. Leg Curl', '3', '12-15'], ['5. Machine Glute Kickback', '3', '12-15'], ['6. Standing Calf Raise', '3', '20']]",4 Day Upper/Lower Planet Fitness Workout (Machine & Dumbbell Only),https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/4-day-upper-lower-planet-fitness-workout,Build Muscle,Full Body,Beginner,4 weeks,3,20-45 minutes,Kettle Bells,Male & Female,"Protein Powder, Creatine (Optional)"
424,Planet Fitness Upper Body Workout B,"[['1. Seated Dumbbell Press', '4', '8-12'], ['2. Cable Face Pull', '3', '10-15'], ['3. Smith Machine Row', '4', '8-12'], ['4. Machine Pull Up', '4', '8-12'], ['5. Incline Dumbbell Press', '4', '8-12'], ['6. Cable Fly', '3', '10-15'], ['7. Dumbbell Curl', '2', '8-12'], ['8. Skullcrusher', '2', '8-12']]",4 Day Upper/Lower Planet Fitness Workout (Machine & Dumbbell Only),https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/4-day-upper-lower-planet-fitness-workout,Build Muscle,Full Body,Beginner,4 weeks,3,20-45 minutes,Kettle Bells,Male & Female,"Protein Powder, Creatine (Optional)"
425,Planet Fitness Lower Body Workout B,"[['1. Goblet Squat', '4', '8-12'], ['2. Smith Machine Hip Thrust', '4', '8-12'], ['3. Dumbbell Deadlift', '4', '8-12'], ['4. Dumbbell Lunge', '3', '10-15 Each'], ['5. Seated Leg Curl', '3', '10-15'], ['6. Seated Calf Raise', '3', '20']]",4 Day Upper/Lower Planet Fitness Workout (Machine & Dumbbell Only),https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/4-day-upper-lower-planet-fitness-workout,Build Muscle,Full Body,Beginner,4 weeks,3,20-45 minutes,Kettle Bells,Male & Female,"Protein Powder, Creatine (Optional)"
426,Planet Fitness Push Workout A,"[['1. Dumbbell Bench Press', '4', '8-12'], ['2. Incline Smith Machine Bench Press', '3', '8-10'], ['3. Dips', '3', '10-15'], ['4. Seated Arnold Press', '4', '8-12'], ['5. Lateral Raise', '3', '10-15'], ['6. Cable Overhead Tricep Extension', '4', '12-15']]",6 Day Push/Pull/Legs Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/6-day-push-pull-legs-planet-fitness-workout,General Fitness,Split,Beginner,8 weeks,3,40-60 minutes,"Bands, Dumbbells",Male & Female,
427,Planet Fitness Pull Workout A,"[['1. Dumbbell Row', '4', '8-12'], ['2. Seated Cable Row', '4', '8-12'], ['3. Pull Up', '3', '8-12'], ['4. Inverted Row', '3', '8-12'], ['5. Dumbbell Curl', '4', '10-15']]",6 Day Push/Pull/Legs Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/6-day-push-pull-legs-planet-fitness-workout,General Fitness,Split,Beginner,8 weeks,3,40-60 minutes,"Bands, Dumbbells",Male & Female,
428,Planet Fitness Legs Workout A,"[['1. Leg Press', '4', '8-10'], ['2. Smith Machine Front Squat', '4', '8-10'], ['3. Dumbbell Stiff Leg Deadlift', '4', '8-12'], ['4. Lying Leg Curl', '3', '8-12'], ['5. Bodyweight Hip Thrust', '3', '10-15'], ['6. Standing Calf Raise', '4', '15']]",6 Day Push/Pull/Legs Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/6-day-push-pull-legs-planet-fitness-workout,General Fitness,Split,Beginner,8 weeks,3,40-60 minutes,"Bands, Dumbbells",Male & Female,
429,Planet Fitness Push Workout B,"[['1. Standing Dumbbell Press', '4', '8-12'], ['2. Seated Lateral Raise', '3', '10-15'], ['3. Lateral Raise Machine', '3', '12-15'], ['4. Incline Dumbbell Bench Press', '4', '8-12'], ['5. Push Ups', '4', '10-15'], ['6. Lying Dumbbell Tricep Extensions', '4', '12-15']]",6 Day Push/Pull/Legs Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/6-day-push-pull-legs-planet-fitness-workout,General Fitness,Split,Beginner,8 weeks,3,40-60 minutes,"Bands, Dumbbells",Male & Female,
430,Planet Fitness Pull Workout B,"[['1. Lat Pull Down', '4', '8-12'], ['2. Cable Face Pull', '4', '10-15'], ['3. Smith Machine Row', '4', '8-10'], ['4. Straight Arm Lat Pull Down', '4', '10-15'], ['5. Cable Curl', '4', '10-15']]",6 Day Push/Pull/Legs Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/6-day-push-pull-legs-planet-fitness-workout,General Fitness,Split,Beginner,8 weeks,3,40-60 minutes,"Bands, Dumbbells",Male & Female,
431,Planet Fitness Legs Workout B,"[['1. Dumbbell Rear Lunge', '4', '8-12 Each'], ['2. Goblet Squat', '4', '8-15'], ['3. Seated Leg Curl', '3', '10-15'], ['4. Dumbbell Deadlift', '3', '8-12'], ['5. Glute Hyperextension', '3', '12-15'], ['6. Leg Press Calf Press', '4', '15']]",6 Day Push/Pull/Legs Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/6-day-push-pull-legs-planet-fitness-workout,General Fitness,Split,Beginner,8 weeks,3,40-60 minutes,"Bands, Dumbbells",Male & Female,
432,Full Body Kettlebell Workout 1,"[['Kettlebell Squat', '3', '8'], ['Kettlebell Swing', '3', '8'], ['Kettlebell Row', '3', '8'], ['Kettlebell Overhead Press', '3', '8'], ['Turkish Get Up', '3', '6 Each']]",3 Day Full Body Beginner Kettlebell Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3-day-full-body-kettlebell-workout,Lose Fat,Full Body,Beginner,8 weeks,3,45 minutes,"Bodyweight, Dumbbells",Male & Female,"Protein Powder, BCAA's, Fish Oil"
433,Full Body Kettlebell Workout 2,"[['Kettlebell Romanian Deadlift', '3', '8'], ['Kettlebell Split Lunge', '3', '8 Each'], ['Kettlebell Snatch', '3', '6'], ['Kettlebell Row', '3', '8'], ['One Arm Kettlebell Floor Press', '3', '8 Each']]",3 Day Full Body Beginner Kettlebell Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3-day-full-body-kettlebell-workout,Lose Fat,Full Body,Beginner,8 weeks,3,45 minutes,"Bodyweight, Dumbbells",Male & Female,"Protein Powder, BCAA's, Fish Oil"
434,Full Body Kettlebell Workout 3,"[['Kettlebell Sumo Deadlift', '3', '8'], ['Kettlebell Lateral Lunge', '3', '8 Each'], ['Kettlebell Clean', '3', '6'], ['Kettlebell Upright Row', '3', '8'], ['Kettlebell Angled Press', '3', '8']]",3 Day Full Body Beginner Kettlebell Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3-day-full-body-kettlebell-workout,Lose Fat,Full Body,Beginner,8 weeks,3,45 minutes,"Bodyweight, Dumbbells",Male & Female,"Protein Powder, BCAA's, Fish Oil"
435,Full Body Workout for Beginners,"[['Trap Bar Deadlift', '3', '3-5'], ['Bent Over Row', '3', '5-8'], ['Dumbbell Overhead Press', '3', '6-10'], ['Lat Pull Down', '3', '6-10'], ['Dumbbell Bicep Curl', '2', '10-12'], ['Rope Pressdown', '2', '10-12'], ['Plank', '2', 'Failure*']]",3 Day Workout Routine and Diet for Beginners,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3-day-workout-routine-and-diet-for-beginners,Lose Fat,Split,Beginner,4 weeks,3,45 minutes,"Bodyweight, Kettle Bells",Male & Female,"Protein Powder, Creatine, Fish Oil"
436,Full Body Workout for Beginners,"[['Front Squats', '3', '3-5'], ['Romanian Deadlift', '3', '6-10'], [""Farmer's Carry"", '3', '45 Secs'], ['Dumbbell Row', '3', '10-15'], ['Incline Dumbbell Bench Press', '3', '8-12'], ['Calf Raise', '3', '15-20'], ['Dead Bugs', '2', '6-12 Each']]",3 Day Workout Routine and Diet for Beginners,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3-day-workout-routine-and-diet-for-beginners,Lose Fat,Split,Beginner,4 weeks,3,45 minutes,"Bodyweight, Kettle Bells",Male & Female,"Protein Powder, Creatine, Fish Oil"
437,Full Body Workout for Beginners,"[['Bench Press', '3', '3-5'], ['Leg Press', '3', '6-10'], ['Leg Curl', '3', '8-12'], ['Lateral Raise', '3', '10-15'], ['Cable Row', '3', '8-12'], ['EZ Bar Curl', '2', '10-12'], ['Skullcrusher', '2', '10-12'], ['Pallof Press', '2', '6-12 Each']]",3 Day Workout Routine and Diet for Beginners,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3-day-workout-routine-and-diet-for-beginners,Lose Fat,Split,Beginner,4 weeks,3,45 minutes,"Bodyweight, Kettle Bells",Male & Female,"Protein Powder, Creatine, Fish Oil"
438,The Conditioning Comeback Day 1: Lower Body,"[['Goblet Squat', '*', '100'], ['Dumbbell Lunge', '*', '100 (50 each)'], ['Banded Good Morning', '*', '100'], ['Lying Leg Raise', '*', '100'], ['Dumbbell Farmer’s Walk', '*', '100'], ['* As few sets as possible']]",The Conditioning Comeback: 8 Week Total Body Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/conditioning-comeback-8-week-conditioning-workout,Build Muscle,Single Muscle Group,Advanced,4 weeks,1,45-70 minutes,"Barbell, Cables, Dumbbells, Machines",Male & Female,"IsoFlex, AminoCore, Impact Pump"
439,The Conditioning Comeback Day 2: Upper Body,"[['Dumbbell Floor Press', '*', '100'], ['Dumbbell Pullover', '*', '100'], ['Banded Lateral Raise', '*', '100'], ['Hammer Curl', '*', '100 (50 each)'], ['Close Grip Pushup', '*', '100'], ['* As few sets as possible']]",The Conditioning Comeback: 8 Week Total Body Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/conditioning-comeback-8-week-conditioning-workout,Build Muscle,Single Muscle Group,Advanced,4 weeks,1,45-70 minutes,"Barbell, Cables, Dumbbells, Machines",Male & Female,"IsoFlex, AminoCore, Impact Pump"
440,The Conditioning Comeback Day 3: Full Body,"[['Goblet Squat', 'AMRAP', '5 Minutes'], ['Dumbbell Lunge', 'AMRAP', '5 Minutes'], ['Dumbbell Floor Press', 'AMRAP', '5 Minutes'], ['Dumbbell Pullover', 'AMRAP', '5 Minutes'], ['Hammer Curl', 'AMRAP', '5 Minutes'], ['Lying Leg Raise', 'AMRAP', '5 Minutes'], ['AMRAP = As Many Reps As Possible']]",The Conditioning Comeback: 8 Week Total Body Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/conditioning-comeback-8-week-conditioning-workout,Build Muscle,Single Muscle Group,Advanced,4 weeks,1,45-70 minutes,"Barbell, Cables, Dumbbells, Machines",Male & Female,"IsoFlex, AminoCore, Impact Pump"
441,Workout A,"[['Squats', '2', '10'], ['Bench Press', '2', '10'], ['Stiff Leg Deadlift', '2', '10'], ['Barbell Row', '2', '10'], ['Military Press', '2', '10'], ['Skullcrushers', '2', '10'], ['Dumbbell Curls', '2', '10'], ['Seated Calf Raises', '2', '10'], ['Sit Ups', '2', '10']]",How To Gain Mass Fast: 20 Week Quick Start Program,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/gain-mass-fast-20-week-program,Build Muscle,Single Muscle Group,Advanced,6 weeks,1,45-60 minutes,"Barbell, Dumbbells, Machines",Male & Female,
442,Workout A,"[['Squats', '3', '10'], ['Bench Press', '3', '10'], ['Leg Curls', '3', '10'], ['Barbell Rows', '3', '10'], ['Military Press', '3', '10'], ['Skullcrushers', '3', '10'], ['EZ Bar Preacher Curls', '3', '10'], ['Seated Calf Raise', '3', '10'], ['Sit Ups', '3', '10-25']]",How To Gain Mass Fast: 20 Week Quick Start Program,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/gain-mass-fast-20-week-program,Build Muscle,Single Muscle Group,Advanced,6 weeks,1,45-60 minutes,"Barbell, Dumbbells, Machines",Male & Female,
443,Workout B,"[['Stiff Leg Deadlift', '3', '10'], ['Leg Press', '3', '10'], ['Dumbbell Flys', '3', '10'], ['Pull Ups or Lat Pull Down', '3', '10'], ['Bent Over Reverse Dumbbell Fly', '3', '10'], ['Dips', '3', '10'], ['Hammer Curls', '3', '10'], ['Dumbbell Shrugs', '3', '10'], ['Dumbbell Side Bends', '3', '10']]",How To Gain Mass Fast: 20 Week Quick Start Program,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/gain-mass-fast-20-week-program,Build Muscle,Single Muscle Group,Advanced,6 weeks,1,45-60 minutes,"Barbell, Dumbbells, Machines",Male & Female,
444,Workout C,"[['Squats', '3', '10'], ['Incline Dumbbell Bench Press', '3', '10'], ['Leg Curls', '3', '10'], ['One Arm Dumbbell Row', '3', '10'], ['Seated Arnold Press', '3', '10'], ['Cable Tricep Extensions', '3', '10'], ['Dumbbell Curls', '3', '10'], ['Standing Calf Raises', '3', '10'], ['Plank', '3', '60 sec']]",How To Gain Mass Fast: 20 Week Quick Start Program,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/gain-mass-fast-20-week-program,Build Muscle,Single Muscle Group,Advanced,6 weeks,1,45-60 minutes,"Barbell, Dumbbells, Machines",Male & Female,
445,Workout A,"[['Squats', '3', '10'], ['Leg Extensions', '3', '10'], ['Leg Curls', '3', '10'], ['Seated Calf Raises', '3', '15'], ['Decline Weighted Sit Up', '3', '15-25'], ['Barbell Shrugs', '3', '10']]",How To Gain Mass Fast: 20 Week Quick Start Program,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/gain-mass-fast-20-week-program,Build Muscle,Single Muscle Group,Advanced,6 weeks,1,45-60 minutes,"Barbell, Dumbbells, Machines",Male & Female,
446,Workout B,"[['Bench Press', '3', '10'], ['One Arm Dumbbell Row', '3', '10'], ['Military Press', '3', '10'], ['Dips or Cable Extensions', '3', '10'], ['Pull Ups', '3', 'AMRAP'], ['EZ Bar Curls', '3', '10']]",How To Gain Mass Fast: 20 Week Quick Start Program,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/gain-mass-fast-20-week-program,Build Muscle,Single Muscle Group,Advanced,6 weeks,1,45-60 minutes,"Barbell, Dumbbells, Machines",Male & Female,
447,Workout C,"[['Stiff Leg Deadlift', '3', '10'], ['Squats', '2', '15'], ['Leg Press', '3', '15'], ['Standing Calf Raises', '3', '15'], ['Plank', '3', '60 sec'], ['Dumbbell Shrugs', '3', '10']]",How To Gain Mass Fast: 20 Week Quick Start Program,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/gain-mass-fast-20-week-program,Build Muscle,Single Muscle Group,Advanced,6 weeks,1,45-60 minutes,"Barbell, Dumbbells, Machines",Male & Female,
448,Workout D,"[['Incline Dumbbell Bench Press', '3', '10'], ['Barbell Rows', '3', '10'], ['Seated Arnold Press', '3', '10'], ['Close Grip Bench Press', '3', '10'], ['Pull Ups', '3', 'AMRAP'], ['Seated Dumbbell Curls', '3', '10']]",How To Gain Mass Fast: 20 Week Quick Start Program,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/gain-mass-fast-20-week-program,Build Muscle,Single Muscle Group,Advanced,6 weeks,1,45-60 minutes,"Barbell, Dumbbells, Machines",Male & Female,
449,Planet Fitness Push Workout,"[['Leg Press', '4', '8'], ['Smith Machine Split Squat', '3', '8 Each'], ['Dumbbell Bench Press', '3', '10'], ['Machine Incline Press', '3', '10'], ['Standing Dumbbell Press', '3', '10'], ['Tricep Pressdown', '3', '12']]",Push/Pull Sample Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/push-pull-sample-planet-fitness-workout,Build Muscle,Single Muscle Group,Intermediate,8 weeks,1,45-60 minutes,"Cables, Dumbbells",Male & Female,"One More Rep PWO, Best BCAAs Energy, ISO HD"
450,Planet Fitness Pull Workout,"[['Dumbbell Stiff Leg Deadlift', '4', '8'], ['Lying Leg Curl', '3', '10'], ['Assisted Pull Up', '3', '8'], ['One Arm Dumbbell Row', '3', '8 Each'], ['Cable Row', '3', '10'], ['Dumbbell Curl', '3', '12']]",Push/Pull Sample Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/push-pull-sample-planet-fitness-workout,Build Muscle,Single Muscle Group,Intermediate,8 weeks,1,45-60 minutes,"Cables, Dumbbells",Male & Female,"One More Rep PWO, Best BCAAs Energy, ISO HD"
451,Robert Downey Jr Workout Day 1: Upper Workout,"[['1. Pull Up', '3', '8-12*'], ['2. Push Up', '3', '8-12'], ['3. Dumbbell Bench Press', '3', '8-12'], ['4. Dumbbell Row', '3', '8-12'], ['5. Dumbbell Military Press', '3', '8-12'], ['6a. TRX Suspension Push Up', '3', '8-12'], ['6b.. TRX Suspension Inverted Row', '3', '8-12'], ['7. Lateral Raise', '3', '8-12'], ['8. Bent Over Lateral Raise', '3', '12-15']]",Robert Downey Jr Inspired Workout Program: Train Like Iron Man,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/robert-downey-jr-workout,Build Muscle,Split,Intermediate,12 weeks,6,45-60 minutes,"Barbell, Bodyweight, Dumbbells, Machines",Male & Female,"Whey Protein, Creatine, Multivitamin, BCAAs, Citrulline Malate, Agmatine Sulfate, Beta-Alanine, ZMA"
452,Robert Downey Jr Workout Day 2: Lower Workout,"[['1. Barbell Squat', '3', '8-12'], ['2. Leg Press', '3', '8-12'], ['3. Hamstring Curl', '3', '8-12'], ['4. Dumbbell Stiff Leg Deadlift', '3', '8-12'], ['5a. TRX Suspension Split Squat', '3', '12-15*'], ['5b. TRX Suspension Supported Pistol Squat', '3', '12-15 Each*'], ['6. Ab Crunch', '3', '20'], ['7. Hanging Leg Raise', '3', '12'], ['8. Plank', '3', '30 Secs']]",Robert Downey Jr Inspired Workout Program: Train Like Iron Man,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/robert-downey-jr-workout,Build Muscle,Split,Intermediate,12 weeks,6,45-60 minutes,"Barbell, Bodyweight, Dumbbells, Machines",Male & Female,"Whey Protein, Creatine, Multivitamin, BCAAs, Citrulline Malate, Agmatine Sulfate, Beta-Alanine, ZMA"
